Logical Quotient Rating,Coding Skills Rating,Communication Skills Rating,Self-learning Capability?,Worked in teams ever?,Reading and Writing Skills,Memory Capability Score,Hard/Smart worker,Management or Technical,Certifications,Interested Subjects,Workshops,Type of Company want to settle in?,Interested Career Area,Suggested Job Role
4,9,6,no,no,medium,medium,smart worker,Technical,shell programming,parallel computing,game development,BPA,system developer,Applications Developer
5,7,4,no,no,excellent,medium,hard worker,Technical,shell programming,distributed computing,system designing,Sales and Marketing,security,Applications Developer
9,9,9,yes,yes,poor,medium,hard worker,Management,app development,Computer Architecture,data science,SAaS services,security,Applications Developer
1,5,7,yes,yes,excellent,poor,smart worker,Management,hadoop,data engineering,game development,Web Services,Business process analyst,Applications Developer
6,2,5,yes,no,excellent,excellent,hard worker,Management,r programming,hacking,game development,BPA,Business process analyst,Applications Developer
7,6,4,no,yes,excellent,excellent,hard worker,Management,app development,networks,AWS,product development,security,Applications Developer
5,5,5,yes,no,excellent,excellent,smart worker,Technical,hadoop,distributed computing,game development,BPA,cloud computing,Applications Developer
8,3,2,yes,yes,excellent,excellent,hard worker,Technical,shell programming,distributed computing,web technologies,product development,testing,Applications Developer
2,9,7,no,yes,poor,poor,smart worker,Management,machine learning,hacking,database security,Finance,cloud computing,Applications Developer
4,4,4,no,yes,poor,poor,smart worker,Technical,information security,parallel computing,testing,Finance,Business process analyst,Applications Developer
8,8,4,yes,no,medium,excellent,hard worker,Technical,r programming,data engineering,system designing,Cloud Services,security,Applications Developer
1,5,3,yes,no,excellent,poor,smart worker,Technical,app development,Computer Architecture,web technologies,Finance,testing,Applications Developer
6,2,1,yes,yes,poor,excellent,hard worker,Management,python,Management,AWS,BPA,system developer,Applications Developer
7,2,7,yes,no,poor,medium,hard worker,Technical,hadoop,Management,AWS,SAaS services,security,Applications Developer
8,1,4,yes,no,poor,medium,hard worker,Technical,shell programming,networks,web technologies,Sales and Marketing,security,Applications Developer
7,2,7,yes,no,poor,poor,hard worker,Management,app development,distributed computing,ethical hacking,Web Services,Business process analyst,Applications Developer
2,2,6,no,no,excellent,excellent,hard worker,Technical,shell programming,programming,data science,BPA,security,Applications Developer
6,8,1,yes,no,excellent,poor,smart worker,Management,r programming,networks,data science,Product based,cloud computing,Applications Developer
9,6,6,yes,yes,excellent,excellent,smart worker,Technical,machine learning,data engineering,AWS,Sales and Marketing,developer,Applications Developer
4,5,4,no,no,excellent,poor,hard worker,Management,hadoop,Computer Architecture,system designing,BPA,cloud computing,Applications Developer
4,9,5,yes,no,poor,medium,hard worker,Management,information security,parallel computing,AWS,Service Based,developer,Applications Developer
1,1,6,no,yes,medium,medium,hard worker,Management,machine learning,hacking,ethical hacking,Finance,Business process analyst,Applications Developer
2,8,5,no,no,poor,excellent,hard worker,Technical,machine learning,hacking,system designing,SAaS services,testing,Applications Developer
6,1,3,yes,no,excellent,excellent,hard worker,Management,hadoop,programming,web technologies,Web Services,security,Applications Developer
9,6,8,yes,yes,poor,poor,smart worker,Technical,r programming,data engineering,data science,Testing and Maintainance Services,developer,Applications Developer
9,5,5,yes,no,excellent,poor,smart worker,Management,shell programming,networks,game development,product development,Business process analyst,Applications Developer
5,1,8,yes,yes,excellent,medium,hard worker,Technical,hadoop,parallel computing,system designing,Service Based,system developer,Applications Developer
5,7,1,yes,no,medium,poor,smart worker,Management,machine learning,networks,game development,Finance,system developer,Applications Developer
3,7,1,no,no,medium,poor,hard worker,Technical,full stack,data engineering,system designing,product development,security,Applications Developer
2,6,9,no,yes,poor,medium,hard worker,Technical,hadoop,IOT,AWS,Sales and Marketing,Business process analyst,Applications Developer
3,1,2,no,yes,excellent,poor,smart worker,Management,r programming,parallel computing,data science,Product based,developer,Applications Developer
6,4,3,yes,yes,excellent,medium,smart worker,Technical,r programming,IOT,AWS,Finance,developer,Applications Developer
1,9,8,no,yes,poor,excellent,smart worker,Technical,hadoop,data engineering,system designing,Web Services,system developer,Applications Developer
7,9,3,no,no,medium,medium,hard worker,Technical,full stack,hacking,testing,SAaS services,Business process analyst,Applications Developer
4,4,8,no,yes,medium,poor,hard worker,Management,hadoop,distributed computing,testing,Cloud Services,cloud computing,Applications Developer
4,4,1,yes,yes,excellent,medium,hard worker,Technical,hadoop,Computer Architecture,ethical hacking,Finance,cloud computing,Applications Developer
9,6,4,no,no,medium,excellent,smart worker,Management,information security,programming,AWS,Cloud Services,security,Applications Developer
8,1,7,no,no,excellent,poor,hard worker,Technical,r programming,programming,database security,Testing and Maintainance Services,testing,Applications Developer
1,4,8,no,no,medium,excellent,smart worker,Management,full stack,distributed computing,ethical hacking,Service Based,testing,Applications Developer
2,5,9,yes,yes,medium,excellent,smart worker,Management,machine learning,distributed computing,data science,Testing and Maintainance Services,cloud computing,Applications Developer
6,3,1,yes,no,medium,excellent,smart worker,Technical,r programming,networks,testing,Sales and Marketing,Business process analyst,Applications Developer
4,7,8,yes,yes,excellent,medium,smart worker,Management,information security,networks,web technologies,Testing and Maintainance Services,developer,Applications Developer
1,7,4,yes,no,excellent,poor,hard worker,Management,r programming,Computer Architecture,data science,Service Based,testing,Applications Developer
5,3,2,yes,yes,excellent,excellent,hard worker,Technical,python,IOT,web technologies,BPA,security,Applications Developer
4,7,3,no,no,excellent,excellent,smart worker,Management,distro making,parallel computing,system designing,Testing and Maintainance Services,testing,Applications Developer
9,3,6,no,yes,poor,excellent,smart worker,Management,app development,Computer Architecture,data science,Web Services,cloud computing,Applications Developer
3,4,4,yes,no,excellent,poor,hard worker,Management,app development,programming,AWS,Service Based,Business process analyst,Applications Developer
3,9,4,no,yes,poor,poor,hard worker,Management,r programming,Software Engineering,game development,product development,system developer,Applications Developer
6,8,8,no,yes,medium,medium,hard worker,Technical,python,Management,data science,SAaS services,testing,Applications Developer
2,2,5,yes,yes,excellent,medium,hard worker,Management,shell programming,Computer Architecture,data science,Finance,cloud computing,Applications Developer
2,5,3,no,no,poor,poor,hard worker,Management,distro making,hacking,game development,Finance,system developer,Applications Developer
8,4,3,yes,no,medium,excellent,smart worker,Technical,shell programming,distributed computing,system designing,Sales and Marketing,developer,Applications Developer
5,2,3,no,yes,excellent,poor,smart worker,Technical,r programming,networks,web technologies,Testing and Maintainance Services,cloud computing,Applications Developer
8,8,6,no,no,medium,excellent,hard worker,Management,python,Management,game development,BPA,Business process analyst,Applications Developer
2,1,1,yes,yes,excellent,medium,smart worker,Technical,app development,data engineering,data science,Web Services,security,Applications Developer
5,5,2,no,yes,poor,medium,smart worker,Management,shell programming,Computer Architecture,system designing,Testing and Maintainance Services,system developer,Applications Developer
9,4,5,yes,no,poor,poor,smart worker,Technical,shell programming,hacking,testing,Testing and Maintainance Services,cloud computing,Applications Developer
5,7,4,no,yes,excellent,medium,smart worker,Technical,r programming,networks,database security,Web Services,security,Applications Developer
4,8,7,yes,yes,medium,medium,hard worker,Management,hadoop,Management,web technologies,Sales and Marketing,cloud computing,Applications Developer
9,7,9,yes,yes,excellent,poor,hard worker,Technical,information security,Computer Architecture,game development,Cloud Services,cloud computing,Applications Developer
5,1,7,yes,yes,excellent,medium,hard worker,Technical,shell programming,hacking,system designing,Finance,developer,Applications Developer
1,1,1,yes,no,poor,medium,smart worker,Technical,app development,Computer Architecture,AWS,Service Based,developer,Applications Developer
7,6,5,yes,no,medium,poor,smart worker,Management,machine learning,networks,testing,Sales and Marketing,testing,Applications Developer
3,6,7,no,yes,poor,poor,hard worker,Management,machine learning,Software Engineering,data science,Service Based,system developer,Applications Developer
6,5,2,no,no,poor,excellent,smart worker,Technical,app development,Software Engineering,game development,Product based,security,Applications Developer
1,5,7,yes,yes,medium,medium,hard worker,Management,shell programming,data engineering,testing,Service Based,Business process analyst,Applications Developer
4,1,9,yes,yes,medium,excellent,hard worker,Management,machine learning,Computer Architecture,AWS,Sales and Marketing,testing,Applications Developer
1,3,2,yes,no,medium,poor,hard worker,Technical,python,data engineering,system designing,BPA,security,Applications Developer
5,5,7,no,yes,poor,medium,smart worker,Technical,machine learning,parallel computing,game development,Cloud Services,developer,Applications Developer
9,9,2,yes,no,poor,excellent,hard worker,Management,hadoop,Software Engineering,web technologies,Product based,testing,Applications Developer
2,9,7,yes,no,poor,medium,hard worker,Management,python,distributed computing,ethical hacking,Cloud Services,system developer,Applications Developer
4,5,8,no,yes,poor,medium,smart worker,Technical,shell programming,programming,ethical hacking,Testing and Maintainance Services,system developer,Applications Developer
1,5,9,yes,yes,medium,poor,hard worker,Management,full stack,Software Engineering,system designing,Service Based,developer,Applications Developer
1,7,9,yes,yes,medium,poor,smart worker,Management,r programming,programming,database security,Product based,system developer,Applications Developer
7,2,5,no,no,medium,poor,smart worker,Management,full stack,networks,testing,product development,developer,Applications Developer
8,9,7,yes,yes,poor,excellent,hard worker,Management,information security,IOT,AWS,Web Services,developer,Applications Developer
1,3,5,no,yes,poor,poor,smart worker,Technical,full stack,Computer Architecture,game development,product development,system developer,Applications Developer
5,7,9,yes,no,poor,excellent,smart worker,Technical,distro making,parallel computing,AWS,SAaS services,testing,Applications Developer
9,3,8,no,yes,medium,excellent,hard worker,Management,app development,Computer Architecture,ethical hacking,product development,security,Applications Developer
1,3,4,no,yes,excellent,excellent,hard worker,Management,python,Management,database security,Finance,security,CRM Technical Developer
5,8,4,no,no,medium,excellent,hard worker,Technical,distro making,Software Engineering,data science,BPA,system developer,CRM Technical Developer
3,4,8,no,yes,excellent,poor,smart worker,Management,information security,parallel computing,ethical hacking,Service Based,security,CRM Technical Developer
4,1,1,no,yes,poor,medium,hard worker,Management,hadoop,programming,testing,Product based,cloud computing,CRM Technical Developer
1,2,9,no,no,medium,medium,hard worker,Management,distro making,Software Engineering,testing,Testing and Maintainance Services,system developer,CRM Technical Developer
7,2,3,no,yes,poor,medium,hard worker,Management,r programming,Software Engineering,game development,Sales and Marketing,Business process analyst,CRM Technical Developer
4,2,8,no,yes,medium,medium,hard worker,Management,r programming,programming,ethical hacking,Product based,developer,CRM Technical Developer
3,1,4,yes,yes,excellent,excellent,smart worker,Technical,hadoop,Management,AWS,Sales and Marketing,security,CRM Technical Developer
8,7,5,yes,yes,excellent,excellent,hard worker,Management,information security,IOT,data science,BPA,cloud computing,CRM Technical Developer
9,5,9,no,yes,medium,medium,smart worker,Management,distro making,Software Engineering,web technologies,Web Services,Business process analyst,CRM Technical Developer
7,9,5,no,yes,excellent,excellent,hard worker,Technical,hadoop,networks,AWS,Product based,system developer,CRM Technical Developer
1,9,9,no,no,poor,medium,hard worker,Management,shell programming,hacking,data science,SAaS services,system developer,CRM Technical Developer
4,9,4,no,yes,excellent,medium,hard worker,Technical,machine learning,distributed computing,game development,Web Services,system developer,CRM Technical Developer
7,6,7,no,no,excellent,poor,hard worker,Technical,information security,Management,system designing,SAaS services,cloud computing,CRM Technical Developer
7,2,4,yes,no,excellent,excellent,smart worker,Technical,r programming,programming,game development,Cloud Services,Business process analyst,CRM Technical Developer
7,6,4,no,yes,excellent,medium,hard worker,Management,hadoop,IOT,AWS,Service Based,cloud computing,CRM Technical Developer
3,4,7,no,yes,poor,poor,smart worker,Technical,information security,data engineering,web technologies,Finance,security,CRM Technical Developer
8,4,6,yes,no,medium,poor,smart worker,Technical,r programming,Software Engineering,database security,Sales and Marketing,Business process analyst,CRM Technical Developer
5,5,4,no,yes,medium,medium,hard worker,Technical,app development,Management,game development,product development,security,CRM Technical Developer
5,8,9,no,yes,poor,excellent,smart worker,Technical,distro making,data engineering,game development,Service Based,system developer,CRM Technical Developer
2,2,6,yes,yes,excellent,excellent,smart worker,Technical,machine learning,data engineering,database security,BPA,security,CRM Technical Developer
5,4,7,yes,yes,medium,medium,smart worker,Management,r programming,parallel computing,database security,Service Based,testing,CRM Technical Developer
8,9,5,yes,yes,poor,medium,smart worker,Management,information security,parallel computing,ethical hacking,Web Services,testing,CRM Technical Developer
9,8,5,yes,yes,medium,poor,hard worker,Technical,machine learning,Software Engineering,testing,BPA,Business process analyst,CRM Technical Developer
1,3,2,yes,yes,poor,medium,smart worker,Technical,r programming,Software Engineering,ethical hacking,SAaS services,developer,CRM Technical Developer
3,7,1,no,no,poor,excellent,hard worker,Technical,information security,programming,web technologies,Sales and Marketing,Business process analyst,CRM Technical Developer
7,7,2,no,yes,excellent,excellent,hard worker,Management,distro making,data engineering,data science,Finance,security,CRM Technical Developer
8,4,3,yes,no,excellent,poor,smart worker,Technical,information security,Management,web technologies,BPA,Business process analyst,CRM Technical Developer
6,4,7,yes,yes,poor,poor,hard worker,Management,full stack,Software Engineering,ethical hacking,Cloud Services,security,CRM Technical Developer
9,1,5,yes,yes,excellent,excellent,smart worker,Technical,r programming,IOT,data science,Testing and Maintainance Services,testing,CRM Technical Developer
5,5,1,no,no,medium,excellent,hard worker,Management,python,IOT,ethical hacking,Service Based,cloud computing,CRM Technical Developer
9,5,4,yes,yes,poor,medium,smart worker,Technical,app development,networks,testing,SAaS services,developer,CRM Technical Developer
1,8,8,no,no,poor,excellent,smart worker,Technical,shell programming,data engineering,data science,Web Services,Business process analyst,CRM Technical Developer
5,5,5,yes,yes,medium,poor,smart worker,Technical,information security,Computer Architecture,AWS,product development,security,CRM Technical Developer
8,4,8,yes,yes,poor,excellent,smart worker,Management,distro making,data engineering,web technologies,Sales and Marketing,testing,CRM Technical Developer
8,2,6,yes,yes,medium,medium,hard worker,Technical,python,Computer Architecture,testing,Product based,security,CRM Technical Developer
7,3,2,no,no,poor,excellent,smart worker,Technical,full stack,Computer Architecture,ethical hacking,Web Services,developer,CRM Technical Developer
1,1,3,no,no,medium,medium,smart worker,Technical,distro making,data engineering,ethical hacking,Product based,cloud computing,CRM Technical Developer
2,1,6,no,yes,poor,poor,hard worker,Management,python,programming,ethical hacking,Product based,Business process analyst,CRM Technical Developer
5,1,5,no,no,poor,excellent,smart worker,Technical,information security,Software Engineering,AWS,SAaS services,Business process analyst,CRM Technical Developer
6,5,8,no,yes,excellent,medium,smart worker,Technical,shell programming,programming,database security,product development,cloud computing,CRM Technical Developer
1,1,1,no,yes,medium,poor,hard worker,Management,shell programming,Computer Architecture,AWS,SAaS services,system developer,CRM Technical Developer
9,8,1,no,no,excellent,medium,hard worker,Management,shell programming,distributed computing,web technologies,Service Based,system developer,CRM Technical Developer
6,1,3,yes,no,medium,excellent,smart worker,Management,r programming,distributed computing,data science,Finance,cloud computing,CRM Technical Developer
1,8,9,yes,yes,excellent,medium,smart worker,Technical,r programming,distributed computing,web technologies,Testing and Maintainance Services,developer,CRM Technical Developer
7,8,1,no,no,excellent,medium,hard worker,Technical,hadoop,hacking,game development,product development,system developer,CRM Technical Developer
2,6,5,yes,no,poor,medium,hard worker,Technical,shell programming,networks,web technologies,Testing and Maintainance Services,Business process analyst,CRM Technical Developer
8,5,2,yes,yes,excellent,poor,hard worker,Technical,r programming,Management,AWS,Finance,developer,CRM Technical Developer
4,8,6,no,yes,excellent,excellent,smart worker,Management,python,programming,AWS,Web Services,testing,CRM Technical Developer
3,8,3,yes,no,poor,medium,hard worker,Management,python,Computer Architecture,web technologies,Product based,security,CRM Technical Developer
8,7,1,no,yes,medium,medium,smart worker,Technical,shell programming,networks,game development,Service Based,system developer,CRM Technical Developer
4,1,2,yes,no,medium,excellent,smart worker,Management,machine learning,Management,system designing,SAaS services,Business process analyst,CRM Technical Developer
1,3,4,no,yes,medium,medium,hard worker,Management,full stack,distributed computing,web technologies,Service Based,security,CRM Technical Developer
4,1,5,no,no,excellent,medium,hard worker,Management,r programming,networks,data science,product development,developer,CRM Technical Developer
9,1,9,yes,yes,medium,excellent,hard worker,Management,hadoop,programming,testing,Cloud Services,system developer,CRM Technical Developer
4,1,7,yes,yes,poor,poor,smart worker,Management,python,networks,database security,product development,cloud computing,CRM Technical Developer
8,2,4,yes,yes,medium,medium,hard worker,Technical,machine learning,parallel computing,testing,SAaS services,security,CRM Technical Developer
7,1,8,no,no,medium,poor,hard worker,Technical,information security,hacking,AWS,Cloud Services,testing,CRM Technical Developer
8,8,3,no,yes,medium,excellent,hard worker,Management,distro making,Software Engineering,web technologies,BPA,cloud computing,CRM Technical Developer
4,1,3,yes,yes,excellent,medium,smart worker,Management,machine learning,parallel computing,system designing,product development,system developer,CRM Technical Developer
7,5,8,no,no,medium,excellent,hard worker,Technical,information security,parallel computing,data science,Product based,system developer,CRM Technical Developer
8,8,8,no,no,excellent,poor,smart worker,Management,shell programming,IOT,data science,Testing and Maintainance Services,Business process analyst,CRM Technical Developer
3,6,1,yes,no,excellent,poor,hard worker,Technical,app development,programming,web technologies,BPA,developer,CRM Technical Developer
5,8,3,yes,yes,medium,excellent,smart worker,Management,r programming,Management,data science,Cloud Services,testing,CRM Technical Developer
6,6,4,no,yes,medium,medium,hard worker,Management,information security,networks,testing,Finance,testing,CRM Technical Developer
9,3,7,no,yes,medium,poor,hard worker,Technical,shell programming,IOT,database security,Finance,developer,CRM Technical Developer
5,6,5,yes,yes,medium,medium,hard worker,Technical,r programming,IOT,AWS,Service Based,cloud computing,CRM Technical Developer
9,7,7,no,yes,excellent,poor,smart worker,Management,information security,Computer Architecture,ethical hacking,Finance,security,CRM Technical Developer
6,9,6,no,yes,excellent,medium,smart worker,Management,machine learning,Software Engineering,testing,Cloud Services,security,CRM Technical Developer
5,6,2,no,no,excellent,excellent,hard worker,Technical,machine learning,IOT,data science,BPA,developer,CRM Technical Developer
2,7,9,yes,yes,poor,excellent,hard worker,Technical,hadoop,IOT,system designing,Service Based,developer,CRM Technical Developer
7,9,4,yes,no,excellent,medium,smart worker,Technical,information security,IOT,ethical hacking,product development,Business process analyst,CRM Technical Developer
2,7,3,no,no,medium,excellent,smart worker,Management,full stack,data engineering,data science,BPA,Business process analyst,CRM Technical Developer
6,4,6,no,yes,excellent,excellent,hard worker,Technical,shell programming,IOT,AWS,Product based,developer,CRM Technical Developer
9,7,8,yes,no,excellent,poor,smart worker,Management,app development,distributed computing,ethical hacking,Sales and Marketing,system developer,CRM Technical Developer
9,5,3,yes,no,excellent,medium,hard worker,Management,app development,Software Engineering,data science,SAaS services,cloud computing,CRM Technical Developer
3,4,9,no,yes,medium,excellent,hard worker,Technical,information security,programming,game development,Cloud Services,developer,CRM Technical Developer
8,7,4,no,yes,poor,medium,hard worker,Technical,machine learning,Computer Architecture,testing,Service Based,system developer,CRM Technical Developer
4,4,4,yes,yes,excellent,medium,hard worker,Technical,distro making,hacking,data science,Testing and Maintainance Services,testing,CRM Technical Developer
3,2,1,yes,yes,medium,poor,hard worker,Management,shell programming,distributed computing,data science,SAaS services,cloud computing,CRM Technical Developer
3,4,6,yes,yes,medium,poor,smart worker,Technical,full stack,hacking,AWS,Finance,developer,CRM Technical Developer
5,4,3,no,no,poor,medium,hard worker,Technical,machine learning,data engineering,web technologies,Sales and Marketing,system developer,CRM Technical Developer
3,6,6,no,no,medium,excellent,hard worker,Management,python,hacking,game development,product development,cloud computing,CRM Technical Developer
7,1,2,yes,yes,excellent,excellent,hard worker,Management,information security,distributed computing,game development,Testing and Maintainance Services,system developer,CRM Technical Developer
9,5,4,no,yes,excellent,poor,smart worker,Management,full stack,hacking,ethical hacking,Testing and Maintainance Services,developer,CRM Technical Developer
7,2,1,yes,yes,excellent,poor,smart worker,Technical,machine learning,data engineering,ethical hacking,BPA,system developer,CRM Technical Developer
1,9,6,yes,yes,poor,excellent,hard worker,Management,python,IOT,ethical hacking,Web Services,Business process analyst,CRM Technical Developer
2,9,7,no,yes,medium,medium,hard worker,Management,app development,distributed computing,data science,Service Based,developer,CRM Technical Developer
6,8,9,yes,yes,poor,medium,smart worker,Technical,python,Management,game development,Cloud Services,testing,CRM Technical Developer
5,6,1,no,yes,excellent,excellent,smart worker,Technical,python,IOT,system designing,Finance,security,CRM Technical Developer
3,8,1,no,no,poor,poor,hard worker,Technical,information security,Software Engineering,web technologies,BPA,developer,CRM Technical Developer
7,6,7,yes,yes,poor,poor,smart worker,Technical,python,Software Engineering,ethical hacking,Product based,cloud computing,CRM Technical Developer
9,7,3,yes,yes,poor,poor,hard worker,Technical,hadoop,programming,system designing,Service Based,cloud computing,CRM Technical Developer
3,4,8,yes,yes,poor,poor,hard worker,Technical,distro making,Computer Architecture,web technologies,product development,system developer,CRM Technical Developer
7,4,6,yes,no,poor,poor,hard worker,Management,machine learning,programming,web technologies,product development,developer,CRM Technical Developer
6,8,7,no,yes,excellent,medium,smart worker,Technical,machine learning,hacking,game development,Sales and Marketing,cloud computing,CRM Technical Developer
9,7,1,yes,yes,poor,excellent,hard worker,Technical,hadoop,programming,data science,BPA,security,CRM Technical Developer
3,6,6,no,yes,medium,poor,hard worker,Management,full stack,hacking,game development,SAaS services,Business process analyst,CRM Technical Developer
6,6,1,yes,no,excellent,poor,hard worker,Technical,r programming,IOT,data science,BPA,system developer,CRM Technical Developer
2,7,5,no,yes,medium,excellent,hard worker,Technical,r programming,networks,AWS,Testing and Maintainance Services,Business process analyst,CRM Technical Developer
5,1,5,no,no,excellent,medium,smart worker,Technical,information security,Computer Architecture,testing,Finance,cloud computing,Database Developer
6,5,5,yes,no,medium,poor,hard worker,Technical,app development,parallel computing,AWS,BPA,cloud computing,Database Developer
7,4,1,no,no,medium,poor,smart worker,Technical,distro making,programming,game development,Web Services,developer,Database Developer
5,4,6,yes,yes,excellent,medium,hard worker,Technical,information security,Computer Architecture,ethical hacking,product development,Business process analyst,Database Developer
5,8,6,no,no,poor,poor,hard worker,Management,machine learning,Computer Architecture,data science,Cloud Services,cloud computing,Database Developer
6,7,1,yes,no,excellent,excellent,hard worker,Management,shell programming,IOT,system designing,BPA,cloud computing,Database Developer
5,9,4,no,yes,excellent,excellent,hard worker,Management,full stack,programming,web technologies,Finance,developer,Database Developer
6,1,2,yes,no,excellent,excellent,smart worker,Technical,distro making,Computer Architecture,database security,Web Services,testing,Database Developer
8,5,7,no,yes,medium,excellent,hard worker,Management,information security,hacking,system designing,Web Services,testing,Database Developer
2,3,7,no,yes,poor,poor,hard worker,Technical,app development,Computer Architecture,testing,SAaS services,security,Database Developer
2,8,8,no,yes,poor,medium,smart worker,Management,information security,parallel computing,AWS,Sales and Marketing,testing,Database Developer
3,5,5,yes,yes,excellent,poor,smart worker,Management,python,distributed computing,data science,Service Based,system developer,Database Developer
6,7,3,yes,no,excellent,medium,smart worker,Management,python,Management,system designing,Finance,Business process analyst,Database Developer
7,4,3,yes,no,poor,poor,hard worker,Management,full stack,data engineering,AWS,Product based,testing,Database Developer
6,6,1,yes,no,medium,excellent,smart worker,Technical,machine learning,data engineering,database security,BPA,system developer,Database Developer
6,6,4,no,no,medium,poor,smart worker,Technical,full stack,Software Engineering,AWS,Service Based,Business process analyst,Database Developer
2,7,8,yes,yes,medium,medium,smart worker,Management,app development,data engineering,database security,Finance,Business process analyst,Database Developer
6,8,3,no,yes,excellent,poor,hard worker,Management,information security,data engineering,ethical hacking,Service Based,Business process analyst,Database Developer
2,6,7,yes,yes,poor,medium,hard worker,Management,information security,data engineering,game development,product development,Business process analyst,Database Developer
7,4,4,no,yes,poor,poor,hard worker,Technical,r programming,IOT,game development,Cloud Services,cloud computing,Database Developer
2,2,3,no,yes,poor,poor,hard worker,Technical,r programming,Software Engineering,ethical hacking,SAaS services,testing,Database Developer
6,5,7,no,no,excellent,excellent,hard worker,Management,distro making,parallel computing,testing,BPA,developer,Database Developer
9,7,2,no,yes,medium,excellent,smart worker,Technical,shell programming,Computer Architecture,database security,product development,security,Database Developer
7,3,4,no,yes,medium,poor,hard worker,Management,python,IOT,data science,product development,cloud computing,Database Developer
9,8,1,yes,no,poor,excellent,smart worker,Technical,app development,Software Engineering,AWS,Testing and Maintainance Services,system developer,Database Developer
6,7,8,yes,no,poor,medium,smart worker,Technical,machine learning,Software Engineering,ethical hacking,SAaS services,security,Database Developer
9,9,4,no,no,excellent,medium,hard worker,Management,distro making,Management,game development,Testing and Maintainance Services,cloud computing,Database Developer
5,7,8,yes,no,excellent,poor,smart worker,Technical,shell programming,parallel computing,AWS,Testing and Maintainance Services,developer,Database Developer
9,8,9,yes,no,excellent,medium,hard worker,Management,hadoop,Management,database security,Product based,testing,Database Developer
1,2,4,no,no,poor,poor,smart worker,Technical,information security,Computer Architecture,game development,Service Based,security,Database Developer
8,6,6,yes,no,medium,poor,hard worker,Technical,app development,programming,data science,Product based,security,Database Developer
4,6,2,no,no,poor,medium,smart worker,Management,app development,programming,game development,Service Based,developer,Database Developer
6,2,1,yes,yes,excellent,medium,smart worker,Management,python,networks,system designing,Web Services,security,Database Developer
5,7,2,yes,no,poor,excellent,smart worker,Management,python,hacking,web technologies,BPA,developer,Database Developer
1,6,2,no,no,poor,excellent,hard worker,Management,r programming,IOT,data science,Sales and Marketing,Business process analyst,Database Developer
9,3,9,no,no,excellent,medium,smart worker,Management,machine learning,programming,web technologies,SAaS services,developer,Database Developer
2,4,2,yes,yes,medium,poor,smart worker,Technical,information security,IOT,ethical hacking,BPA,testing,Database Developer
2,7,4,no,yes,excellent,excellent,hard worker,Management,r programming,networks,web technologies,Product based,cloud computing,Database Developer
4,2,6,yes,no,poor,poor,hard worker,Management,distro making,parallel computing,AWS,Sales and Marketing,cloud computing,Database Developer
